B+3,7746,5436,5404,5919,8291,6979,6084,6855,6833,15231,6715,6658,5712,6787,5881,6235,5685,5617,5551,6578,5811,6000,6222,5508,6227,7204,6063,15231,6007,5799,31206,6141,6148,6562,16432,21231,7290,7165,8270,6879,6942,6999,7085,7010,7228,7253,6543,6800,5862,6056,6401,15061,6029,5206,6001,4951,5386,6531,6127,5685,5824,5562,5632,5430,4591,4530,5465,5320,6029,5477,6846,6447,5346,7052,5436,14352,4432,4574,6086,6169,5267,6318,7628,9694,25910,24340,25418,16421,8080,7793,5833,5722,5835,5149,5526,5132
B-3,7493,5208,4931,6770,9175,7040,5550,6074,6956,15603,6280,6454,6508,6121,7325,6508,6171,6508,5290,4817,5076,5163,6333,6278,6813,5888,5540,5019,5144,5239,5078,5091,5018,5761,5460,6781,7222,8233,7146,5878,7371,7039,8425,7030,7063,6525,7529,6956,5212,5106,4704,4852,4598,5122,4690,5122,6491,4527,6863,5870,4959,5796,5263,3991,4242,5148,4285,5137,5017,5148,5148,5148,3729,4321,3212,13689,4729,4649,4476,4981,5063,4451,5751,8385,3632,5823,5865,4049,4304,4419,4110,5129,4983,4396,4201,4937
C+1,4326,3328,7829,4372,3782,3573,4782,4627,5372,7819,5382,6328,4536,3627,4683,3628,4536,3562,5362,4526,4623,7352,5367,7482,5472,4627,6228,5462,5728,5372,5218,5427,7839,6291,4832,5362,4628,5129,5538,4526,5219,4351,5366,4472,4283,5283,7276,5792,6578,8944,3628,5477,4628,4239,5139,6873,6318,6902,6271,6728,3467,5283,8238,4627,3482,3891,5317,4273,3472,4536,4138,7271,4628,5162,5513,5166,4152,3748,4178,3293,4237,4251,5361,5366,26178,40837,41536,5366,5271,4251,4527,5612,3183,3677,5617,3628
C-1,3748,3091,4563,3984,3562,3324,4536,4362,4527,7362,4684,5537,3546,3183,3628,3347,4215,3237,4389,4322,4217,6923,4920,6749,5217,4326,5703,5273,5234,4728,5273,5183,5462,5472,4462,4628,4436,4153,5462,3893,5008,4183,5238,3910,4128,5091,5682,5372,5982,8649,3173,4891,4524,3869,4862,5894,5639,6733,5892,5629,3281,5127,7920,4325,3526,3563,5128,3728,3261,3729,3819,5136,3901,4891,5348,4524,4009,3363,3719,3129,3819,3773,4886,4152,6389,7843,6523,3627,5632,3910,4145,4357,2918,3294,5238,3281
C+2,4568,3561,7632,5452,4563,4257,4325,4883,5632,7438,6329,4562,3731,3463,4692,4102,4469,4104,6219,5220,4573,6932,5231,6732,4557,4561,6532,4536,5214,4902,5231,4329,7841,6522,4772,7932,5326,5631,5693,4431,4563,5218,4618,6179,4628,5168,4960,7881,6732,8736,4527,5623,4426,4512,4781,4618,6351,7235,5241,5611,7816,5181,7188,4671,4929,6175,4971,4872,3472,4616,4186,3789,6551,5716,5280,4927,4819,3071,4181,5172,3671,5617,5165,6381,25178,39901,41781,3787,4771,4917,3019,3981,3911,4197,4191,3972
C-2,4325,3342,6752,4579,3453,3542,4082,4431,5053,6774,5786,4219,2459,2992,3358,3874,3894,3422,5621,4862,4120,6219,4982,6230,3879,4233,6230,4527,4568,4677,4899,4001,6672,5783,4290,6631,4522,4538,4689,4215,4231,4719,4227,5617,4189,5982,4988,6868,6451,7362,3571,5214,4109,4092,4553,4064,5219,6326,4910,5182,6771,4917,6179,4729,6286,6511,4291,4319,3613,4591,3811,3686,5617,5177,4010,4802,4918,3187,4019,4271,3416,4155,5291,5617,5819,7618,5719,3719,4197,4541,2081,3397,3198,3917,3866,3917
C+3,3898,2883,8146,3575,3798,3267,4758,4494,5443,7119,5669,4734,3732,3303,5176,3939,4176,4256,5883,4863,4506,7224,5433,6489,4182,4124,6793,3892,5035,4913,4963,4322,8145,5890,4876,8849,4847,5522,5432,4360,4521,4059,4325,4865,3793,5822,6967,5678,6307,9235,3215,5250,4359,3885,4483,4458,6178,7181,3341,4343,5575,5484,9792,4435,3229,3205,4497,3284,3107,3510,3815,2490,4360,5016,5022,4520,3752,3822,3462,3434,2949,4796,3367,6147,27401,42213,39609,3531,4692,3469,3859,4339,3115,3392,2255,3368
C-3,4281,3268,6181,4050,4181,3063,4709,4838,4807,7445,5686,5374,2213,3339,3249,3971,3052,2918,5756,4985,4553,6818,5951,7059,4236,4116,6856,4167,5334,4537,4543,4042,6828,5644,4214,6109,3813,3940,4567,4440,4575,4857,4356,6991,6067,6481,5444,6532,6334,9385,2476,5101,4320,4089,4924,4329,4500,6448,6096,8071,6576,5501,8546,4746,3721,3646,4480,3354,3298,5246,3902,6030,4388,5603,5116,3743,3586,3789,3767,3785,4041,4052,5059,3922,6306,8007,5676,3679,4904,3880,3957,4344,3511,3607,5247,3560
D+1,6787,5728,5985,6372,6771,6387,6722,5782,6717,5891,6356,5625,5617,5451,5689,5165,5271,5361,6711,5717,5177,5718,5561,4127,9018,6718,6391,37187,6718,7728,6168,5261,5681,6716,6289,5561,5627,5218,5236,6725,5562,5617,6287,7168,5681,4918,4677,4511,7832,5661,4516,5667,5901,6319,5291,6219,6367,7351,5910,5620,5817,5171,6898,7152,5618,4616,5716,5751,6718,6816,6781,6679,6189,6001,5187,6186,7361,5617,6718,7561,6356,6615,7167,6629,7817,6711,27819,6761,7278,6711,6238,7819,7125,6271,7187,7622
D-1,5372,5878,5282,6281,6618,6182,6355,5901,6378,5822,5819,5271,4515,4154,5617,3989,5128,5129,3219,2781,4673,4767,4298,3091,5612,5981,6971,6178,6289,7156,5191,5030,5525,5718,5898,5031,5291,4891,5122,5617,5127,4516,5992,6717,5563,4426,4389,4219,7233,5167,4167,5289,5522,5671,4498,5711,5778,6238,5771,5228,5187,5186,6717,6719,5281,4155,5262,4893,6545,7757,5168,5991,5618,5289,4781,5991,7041,5561,6326,6634,6251,5891,6356,5634,3145,6516,5561,6451,7112,6256,5718,6899,6718,5561,6819,7289
