B+3,3452,4728,4672,5637,3748,2842,4847,5638,5673,36728,7281,5266,13772,5728,5682,5309,6694,6472,6729,7253,5626,5266,5993,5679,13648,5778,6733,6272,5694,5628,7288,5628,7382,6377,6462,6329,6233,6482,6770,4628,5629,5648,7362,5271,6845,5638,6288,5653,5727,7728,13682,3847,4688,6727,3868,3438,4257,5277,2367,4236,3488,23648,3688,4672,4013,5588,5300,5273,6828,4628,3727,5257,4153,3913,3679,5627,7969,3780,5278,4462,5326,4729,4527,5364,3829,3701,5289,4738,4356,4616,3788,4468,4718,4142,4527,5172
B-3,2784,3847,3348,2944,2892,2437,3678,4730,5437,5332,6328,5294,11334,5223,4556,5213,5623,4456,5747,6325,4352,4550,4288,5128,12899,4590,5628,5633,4893,4366,6743,4267,6394,5564,5728,5726,5624,4689,6006,4782,4892,4537,6326,4368,5663,4809,5524,4628,3774,5289,12374,3526,3672,5382,3002,3389,3425,1678,2573,3919,2930,21989,3528,3445,3728,4672,4920,3902,3779,3622,3270,5371,3772,3728,1588,5112,5273,3347,4622,4005,4352,4367,4268,4632,3728,3439,4563,4163,3781,3997,3194,4261,4412,3739,4166,4439
C+1,2319,2077,2199,1833,4561,3214,2564,1678,1637,2689,3291,2675,3291,3291,2167,2459,2178,2346,2246,2457,2890,4421,2567,2157,6143,2899,3243,1803,1800,2785,2543,2569,7543,1679,1778,1889,3559,2786,1854,1673,1378,1622,3577,3598,2998,2426,2172,1898,1667,2112,3143,2556,3432,2541,1566,2745,1773,1738,1190,2184,2572,4670,2156,1789,6267,2255,1973,1652,1753,2613,1778,1568,2182,2417,2763,1890,1788,2621,2348,907,1373,1767,1023,1517,2561,3367,3299,1679,3189,2561,2280,5937,6725,4519,2512,1991
C-1,1701,2156,2391,1811,3352,3197,2467,1356,1640,2215,2618,2712,3291,3291,3249,1890,1907,1799,1990,2477,3123,4380,2217,2179,5143,2340,2876,1651,1601,2156,2437,2189,6909,1289,1569,1678,2908,2299,2014,1556,1260,1600,2323,2890,2779,2684,1950,1588,1907,1778,2679,1729,2668,2622,1432,2851,1690,1834,1231,1992,2702,4288,1935,1662,5901,1872,1568,1478,1690,1342,1872,1883,2009,1690,2447,1669,1835,2245,1689,818,1241,1891,990,1468,2519,2991,3458,2146,2573,2669,2377,5791,6620,4218,2390,1560
C+2,4217,3267,3617,2371,3517,4527,3425,3527,3271,3628,3362,4251,3526,4251,3361,3133,4251,3719,2516,2819,3219,4617,3256,2617,5819,3218,3471,2219,2415,3145,2718,2718,6782,2516,2782,2471,3679,3261,2367,2716,2819,2617,4521,3718,3371,3819,3224,2773,2279,2653,5295,2619,3718,2882,2371,2617,2401,2182,1627,2581,3011,4981,2267,2351,6670,2617,3901,2391,3882,3189,2194,2348,2839,2683,3190,2192,2138,3516,3981,1738,1782,2368,2677,2595,2981,3526,3729,2693,3662,3819,3526,6528,6618,4819,3618,2771
C-2,3268,2891,2718,2009,3224,4216,2637,2516,2617,3182,2910,3618,3361,3627,2912,2415,2356,2109,2617,2516,2971,4154,2936,2516,5381,2771,2819,2190,2102,2819,2361,2231,6528,1996,1892,2188,3183,2718,2006,2561,2378,2416,3718,3281,2964,3481,2569,2087,2104,2174,4894,2130,2819,2507,1890,2545,1892,1920,1184,2166,2819,4673,2071,2099,6193,2293,3457,2018,2480,2371,2008,1892,2617,2556,3018,1893,1973,2718,2783,1602,1561,2099,2346,1719,2739,2871,3383,2045,3016,2997,3178,5891,6280,4522,3007,2563
C+3,3561,3971,3527,3711,3671,4516,4761,2719,3791,3227,3561,5717,3521,4761,2757,3781,3767,3617,3781,3511,3761,4461,5161,6717,6717,3271,3415,2671,3611,3189,3781,3451,6152,3371,3818,3288,3818,3912,3416,3873,2371,3517,3718,4152,5161,5156,4516,3711,3617,3871,3651,3279,2891,3818,3781,3971,3461,5167,4591,3454,3556,6172,3771,3781,7179,3891,3783,4562,3423,3673,3992,4582,3681,2788,3173,3761,3699,4136,4517,2617,3517,5166,4151,3516,3171,3611,4671,5616,4153,3671,3228,7181,7819,7671,3811,3771
C-3,3781,3219,3190,3298,3517,4198,4415,2389,3181,2819,2910,3683,3464,4251,2819,3478,3512,3389,2373,3217,3182,4161,4515,5154,5616,3191,2981,2683,2618,2891,3653,3261,5172,2188,3281,2919,2881,2616,2771,2718,2018,3162,3551,3176,4517,4687,3627,3562,3561,2781,2791,3151,2172,3781,2816,3012,3917,4516,3718,38761,2781,5617,3277,3719,6291,3218,3278,4172,2781,3719,2891,4189,2717,2553,2910,3662,2971,3674,3914,1903,3110,5621,3954,3319,2781,3291,4517,5209,2901,3811,2993,6178,7310,6718,3517,2673
D+1,5218,7215,6890,7521,5770,6901,7129,7215,6520,4680,6244,7213,9042,6721,6826,5527,4780,7259,6278,5204,6109,5210,7749,5529,8863,6639,6224,6260,6294,7152,11274,7320,6120,3213,5204,6204,9927,5936,6799,6801,5898,5503,12129,7219,5391,5517,6024,6114,7178,7902,7982,7403,7103,11892,6302,6281,6320,7842,7452,6305,8245,8293,7213,6828,9884,7215,7249,6937,8326,8328,8836,7741,8535,9638,8859,9526,7325,7026,5299,6229,6293,7325,7399,6036,9285,5832,7205,6329,9273,8294,7219,7721,7350,6906,7105,6217
D-1,5128,6714,5815,6388,5331,6699,6901,6991,5361,6443,5828,5991,8827,6442,5427,5117,4681,6911,5732,5228,5224,6129,5882,6601,7269,7017,5659,5533,5093,6646,12941,6623,6271,4429,5100,7307,10254,5521,6118,5589,6122,6219,11592,6526,6214,5822,5593,5622,6227,6703,6401,6192,6601,11320,5391,6720,5504,7720,7329,7291,7104,8322,6529,6202,9360,7449,6826,8081,7529,7257,7462,6492,6492,8316,7368,8291,6292,5123,4692,5292,4281,4771,5393,5293,8802,4828,7391,7119,9075,6429,6424,8263,8191,5338,7033,4392
